artist,artist_id,followers,genres,popularity
The xx,3iOvXCl6edW5Um0fXEBRXy,2945442,"[u'downtempo', u'dream pop', u'indietronica']",70
Tyga,5LHRHt1k9lMyONurDHEdrp,3167960,"[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",81
London Grammar,3Bd1cgCjtCI32PYvDC3ynO,785487,"[u'indie r&b', u'metropopolis']",64
Rudimental,4WN5naL3ofxrVBgFpguzKo,736896,"[u'liquid funk', u'pop', u'tropical house', u'uk funky']",78
Don Omar,33ScadVnbm2X8kkUqOkC6Z,2940897,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']",75
Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,218449,"[u'dance pop', u'edm', u'house', u'pop', u'tropical house']",73
A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,141474,"[u'deep tropical house', u'electropop', u'indie poptimism', u'pop', u'tropical house']",68
Halsey,26VFTg2z8YR0cCuwLzESi2,3495737,"[u'dance pop', u'electropop', u'etherpop', u'indie poptimism', u'pop', u'post-teen pop']",81
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,3349650,"[u'big room', u'brostep', u'dance pop', u'edm', u'house', u'pop', u'trance', u'tropical house']",81
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,3176916,"[u'latin', u'latin pop']",79
Olivia Holt,188VINPQh5dyNfLUkevKqf,607068,"[u'pop', u'post-teen pop', u'teen pop', u'viral pop']",60
Stanaj,3zrUX1hQrUB9aXcOiyQLmN,42980,[u'post-teen pop'],57
Lauv,5JZ7CnR6gTvEMKX4g70Amv,531284,"[u'electropop', u'pop']",79
La La Land Cast,6T70tWxqyIpdVbsFvPzqM3,6326,[],51
Ryan Gosling,6kXm2YCtdUOpRYNKeKhfue,14532,[u'hollywood'],58
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,873720,"[u'dance pop', u'electropop', u'pop', u'post-teen pop']",81
PnB Rock,21WS9wngs9AqFckK7yYJPM,1346910,"[u'pop', u'rap', u'southern hip hop', u'trap music']",76
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,2060569,"[u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",83
Oasis,2DaxqgrOhkeH0fpeiQq2f4,2890115,"[u'britpop', u'madchester', u'modern rock', u'permanent wave', u'rock']",76
John Mayer,0hEurMDQu99nJRq8pTxO14,2989720,"[u'neo mellow', u'pop', u'pop rock', u'singer-songwriter']",80
Ugly God,3Fdm9TFJQCLmC3AWMuGExi,1073176,"[u'rap', u'southern hip hop', u'trap music', u'underground hip hop', u'vapor trap']",65
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,10674250,"[u'modern rock', u'vegas indie']",87
Anuel Aa,2R21vXR83lH98kGeO99Y66,2166234,"[u'latin', u'latin hip hop', u'reggaeton', u'reggaeton flow', u'trap latino', u'tropical']",72
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV,1431105,"[u'dance pop', u'indie r&b', u'pop', u'pop rap', u'r&b', u'rap', u'trap music', u'urban contemporary']",78
James Blunt,7KMqksf0UMdyA0UCf4R3ux,1530943,"[u'neo mellow', u'pop', u'pop rock']",74
Cosculluela,00me4Ke1LsvMxt5kydlMyU,1759486,"[u'latin', u'latin hip hop', u'reggaeton', u'reggaeton flow', u'tropical']",76
Beyoncé,6vWDO969PvNqNYHIOW5v0m,14530119,"[u'dance pop', u'pop', u'post-teen pop', u'r&b']",84
Emma Stone,68Uwx1d3EbjDJhYsLjqvIq,9866,[],60
Justin Hurwitz,2snm3HmsnDUDxbIChdl2Oj,30536,[],60
Kodak Black,46SHBwWsqBkxI7EeeBEQG7,3324944,"[u'pop', u'rap', u'southern hip hop', u'trap music']",81
Khalid,6LuN9FCkKOj5PcnpouEgny,2551291,"[u'indie r&b', u'pop']",90
Grey,4lDBihdpMlOalxy1jkUbPl,29037,[u'pop'],77
