track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
32OWobmyAz8J2qA8iWekyS,0.543,0.0911,161.947,0.0446,0.511,0.0,0.666,6,182947.0,-9.188,0,0.881
0lLdorYw7lVrJydTINhWdI,0.232,0.292,93.269,0.0331,0.907,9.21e-06,0.35,4,206347.0,-11.042,1,0.381
1ADjWm8QNhgNV8yCNNgQ1T,0.63,0.295,132.96,0.182,0.0464,0.0,0.464,7,204093.0,-7.337,1,0.527
3t6j6WNv2OSn6qm5Vxynub,0.629,0.346,143.949,0.114,0.188,0.0,0.841,4,216307.0,-3.033,0,0.676
1hvpDAxZPKjKztOc72sv06,0.642,0.0992,115.412,0.0363,0.164,3.33e-05,0.599,0,222533.0,-6.936,1,0.349
4IdXngKo4g5exqZ0fQTecu,0.326,0.0658,120.992,0.0395,0.918,0.0,0.741,2,130267.0,-12.045,1,0.751
0pDaqgIForVNO4jrtTxcWT,0.653,0.0876,130.099,0.0359,0.189,0.0,0.814,3,228923.0,-0.02,0,0.706
7inXu0Eaeg02VsM8kHNvzM,0.321,0.34,143.104,0.0599,0.881,0.0,0.603,2,155600.0,-11.489,1,0.844
3zJw3rugfpVrmBeDDnUYzy,0.607,0.765,146.539,0.0315,0.319,0.0,0.328,2,213880.0,-11.076,1,0.395
7taXf5odg9xCAZERYfyOkS,0.857,0.347,148.749,0.0442,0.534,0.0,0.485,2,182360.0,-7.059,1,0.963
4so0Wek9Ig1p6CRCHuINwW,0.143,0.349,91.387,0.0364,0.675,0.272,0.261,9,177480.0,-16.363,1,0.236
4DTpngLjoHj5gFxEZFeD3J,0.604,0.124,155.007,0.222,0.0652,6.43e-05,0.736,1,264532.0,-7.357,0,0.574
22nyEAEM29tcBRhukR089b,0.823,0.474,79.94,0.367,0.219,0.0,0.475,0,220996.0,-5.059,1,0.476
1bhUWB0zJMIKr9yVPrkEuI,0.299,0.123,94.992,0.0263,0.779,0.0,0.587,8,259550.0,-7.365,1,0.356
3YU6vJbjYUG0tiJyXf9x5V,0.731,0.308,87.908,0.0868,0.0534,0.0,0.589,2,268867.0,-6.343,1,0.191
0OlnLZY4cmQzT6ZGttvWBM,0.52,0.197,149.119,0.0569,0.435,0.0,0.526,6,183637.0,-7.985,0,0.13
5troof8mcGO3AafoDbk1gc,0.709,0.126,128.07,0.123,0.204,1.41e-05,0.766,9,211853.0,-6.471,0,0.506
3zxrecYFao03IrrcyFiaMU,0.69,0.257,180.239,0.206,0.0216,0.0,0.541,3,182026.0,-5.391,1,0.681
1KSqYYJFyfTecXFk9M0prc,0.859,0.0881,91.977,0.0795,0.0256,6.27e-05,0.744,11,232787.0,-3.166,1,0.787
4vVb2D6RYL669h7tLYOKwx,0.764,0.197,160.015,0.136,0.0527,0.0,0.613,2,208187.0,-6.509,1,0.417
7ut4Y7gxOFe3d3rLJQ7i5w,0.535,0.213,92.027,0.135,0.0713,9.48e-06,0.8,7,209680.0,-6.684,1,0.451
3JbSLr2OhsivV46whJyGeb,0.589,0.108,159.073,0.0558,0.00845,0.0,0.649,2,244827.0,-6.237,1,0.151
3VTNVsTTu05dmTsVFrmGpK,0.651,0.241,118.501,0.0342,0.501,4.73e-05,0.319,2,272200.0,-6.335,1,0.474
5WoaF1B5XIEnWfmb5NZikf,0.506,0.0866,145.965,0.0434,0.173,0.0,0.674,6,259333.0,-10.532,1,0.183
3TcMyNevhQZ35yaA8jHSBq,0.602,0.0696,82.989,0.159,0.0679,2.11e-05,0.696,0,238253.0,-6.156,0,0.305
5cjecvX0CmC9gK0Laf5EMQ,0.659,0.553,146.153,0.319,0.0534,0.0,0.678,11,202235.0,-5.364,0,0.191
2QD7DklEvkqncYacmhMukq,0.504,0.34,163.954,0.0731,0.186,0.000221,0.598,9,203507.0,-9.874,1,0.252
0ZoHHROTzwIYeNAHRPedTY,0.705,0.342,90.12,0.0328,0.556,0.000123,0.603,9,239947.0,-7.547,1,0.89
0OnfGJsCc1m9utfUYqid6O,0.534,0.0607,135.917,0.0386,0.106,1.76e-05,0.615,9,236413.0,-6.719,0,0.193
7CneiDesUKFJO3Ix01dnfr,0.404,0.0911,95.045,0.0682,0.216,0.000357,0.75,9,232253.0,-10.178,0,0.0499
3ireeOPKD5i6wN6CBp5koM,0.941,0.344,93.027,0.347,0.0401,3.09e-06,0.558,11,230409.0,-4.731,1,0.508
4gavOCQdZ2g86gkvi17FM7,0.511,0.0672,94.736,0.0319,0.322,0.0,0.774,11,227653.0,-8.914,1,0.771
2ISl1zekPsc26sUQpVt8UB,0.909,0.128,203.862,0.0358,0.128,0.0,0.541,9,220160.0,-3.101,1,0.962
6xqAP7kpdgCy8lERQHh29c,0.844,0.114,143.936,0.0585,0.18,0.0175,0.734,0,153840.0,-4.178,1,0.258
1P17dC1amhFzptugyAO7Il,0.709,0.133,128.063,0.139,0.189,1.72e-05,0.769,9,211853.0,-6.432,0,0.514
