track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
4QIyEq7TcTdAcxjI2AFlAK,0.387,0.136,125.978,0.412,0.088,0.0,0.931,1,179405.0,-9.127,1,0.376
2xJCMIJfcNYDc5iR0sAm2O,0.7,0.153,116.073,0.0694,0.00261,1.56e-05,0.762,9,209320.0,-6.021,0,0.608
5N4erncE7kuUccm7zEmwzk,0.67,0.338,118.159,0.0473,0.0104,3.33e-06,0.588,0,238173.0,-6.439,1,0.505
3KLygy1YWhmrQx0GRs7IOx,0.785,0.203,106.046,0.0333,0.327,0.0,0.687,1,194408.0,-4.65,1,0.655
4hQ6UGyWQIGJmHSo0J88JW,0.724,0.12,102.061,0.0486,0.0945,1.68e-06,0.601,6,207905.0,-4.856,1,0.508
6JQvHMSaR8flFsN53ypOfP,0.558,0.116,79.992,0.0603,0.462,0.0,0.699,11,165000.0,-7.622,1,0.493
2BkyYZmU4JuWW2sYi9EzpC,0.739,0.149,104.966,0.0311,0.526,0.0,0.613,10,211453.0,-6.478,1,0.712
2uIX8YMNjGMD7441kqyyNU,0.37,0.0841,144.828,0.0361,0.819,0.0577,0.475,4,200560.0,-7.725,0,0.157
7AQim7LbvFVZJE3O8TYgf2,0.533,0.103,131.036,0.0412,0.0172,0.000152,0.797,0,146520.0,-9.74,0,0.329
4ofwffwvvnbSkrMSCKQDaC,0.735,0.242,115.741,0.0457,0.286,0.0,0.672,5,201287.0,-4.733,1,0.754
08bNPGLD8AhKpnnERrAc6G,0.88,0.128,95.079,0.0504,0.205,0.0,0.626,9,202621.0,-2.384,0,0.534
6q8Lb50EtqNeeJXXe8mMAH,0.801,0.143,130.059,0.0683,0.279,4.71e-06,0.728,8,226627.0,-2.942,0,0.416
4S8d14HvHb70ImctNgVzQQ,0.522,0.259,104.053,0.33,0.0114,0.0,0.901,2,127947.0,-8.304,1,0.329
59PYgzOiOjGDzjDT5N5oOX,0.69,0.413,94.194,0.226,0.589,0.0,0.825,10,327467.0,-4.252,0,0.516
2zDj4WjbNDmrRL6Z4YjjCA,0.807,0.0652,183.971,0.0613,0.0481,0.0,0.686,1,227476.0,-3.324,1,0.63
5BDP2tky8oMQJPS33frKVp,0.382,0.104,94.931,0.0514,0.148,0.0,0.771,1,164440.0,-6.808,0,0.535
22An65gG31JLf9n18qjdhZ,0.492,0.174,143.983,0.0671,0.0643,0.0313,0.78,5,94246.0,-3.4,0,0.374
675w3ACw5xZR3ODhUJlEVN,0.706,0.0965,92.965,0.111,0.483,0.0,0.704,11,195044.0,-5.233,0,0.856
3a1lNhkSLSkpJE4MSHpDu9,0.804,0.253,123.146,0.0363,0.215,0.0,0.63,6,220293.0,-4.183,1,0.492
04ZTP5KsCypmtCmQg5tH9R,0.694,0.0719,97.005,0.0253,0.00281,0.0,0.63,11,195519.0,-6.257,0,0.216
4NdXQlDTzxbOMkzJGWFtz3,0.397,0.144,130.008,0.169,0.0889,5.12e-05,0.925,5,132923.0,-11.265,1,0.429
7r55d7IhAj5UGKiYbXBwRP,0.583,0.108,100.464,0.125,0.519,1.97e-05,0.732,7,178000.0,-6.766,1,0.277
1tNJrcVe6gwLEiZCtprs1u,0.518,0.104,151.891,0.0897,0.223,0.0,0.815,7,177667.0,-6.594,0,0.877
4qKcDkK6siZ7Jp1Jb4m0aL,0.581,0.105,140.022,0.27,0.00104,5.86e-05,0.922,10,181263.0,-7.495,1,0.595
7GX5flRQZVHRAGd6B4TmDO,0.75,0.109,155.096,0.231,0.00264,0.0,0.732,11,182707.0,-6.366,0,0.401
4rDbp1vnvEhieiccprPMdI,0.702,0.219,109.722,0.0627,0.192,1.24e-06,0.399,8,296480.0,-6.826,1,0.393
4e4fqjx0Izh4svvTef1z7e,0.772,0.0646,153.995,0.0848,0.0476,0.0,0.642,10,164205.0,-6.61,1,0.589
2FUNBaa5DwItJtYEBgAblU,0.607,0.118,134.022,0.124,0.158,0.000228,0.89,9,233040.0,-6.916,0,0.224
2c7GlMNmF7pbohjykutmLP,0.716,0.263,112.035,0.0351,0.0085,9.06e-06,0.691,7,187027.0,-5.985,1,0.507
2QZ7WLBE8h2y1Y5Fb8RYbH,0.712,0.13,140.025,0.066,0.0573,0.0,0.622,5,211360.0,-7.321,1,0.487
45Egmo7icyopuzJN0oMEdk,0.648,0.134,143.955,0.0449,0.0956,0.0,0.708,6,201707.0,-5.626,1,0.338
7ycWLEP1GsNjVvcjawXz3z,0.569,0.1,80.02,0.136,0.0609,0.0816,0.85,5,205040.0,-8.152,0,0.294
7BKLCZ1jbUBVqRi2FVlTVw,0.524,0.111,95.01,0.0338,0.414,0.0,0.748,8,244960.0,-5.599,1,0.661
1Slwb6dOYkBlWal1PGtnNg,0.445,0.184,78.998,0.0295,0.474,0.0,0.781,2,281560.0,-6.061,1,0.591
5274I4mUMnYczyeXkGDWZN,0.542,0.126,166.111,0.323,0.0484,0.0,0.656,7,141587.0,-7.358,1,0.551
222B3aljXx6fFwKmFjuBED,0.854,0.0808,75.002,0.0608,0.177,0.0,0.754,5,229720.0,-3.449,0,0.8
63cd4JkwGgYJrbOizbfmsp,0.559,0.318,202.006,0.129,0.172,0.0,0.68,0,194520.0,-5.545,1,0.137
6fxVffaTuwjgEk5h9QyRjy,0.379,0.0986,107.989,0.0476,0.607,0.000464,0.614,4,258987.0,-10.48,1,0.201
6gBFPUFcJLzWGx4lenP6h2,0.728,0.149,130.049,0.0484,0.0847,0.0,0.841,7,243837.0,-3.37,1,0.43
260R90ctQ1SiPax90PuEsT,0.75,0.131,81.955,0.298,0.379,0.0,0.737,8,153308.0,-6.464,1,0.857
